,epochs,train_loss,test_loss
0,0,0.6824732982808617,0.5012757387012243
1,1,0.35978378592782717,0.2616860195994377
2,2,0.25681376210443535,0.24724652245640755
3,3,0.2497858103293522,0.24187619797885418
4,4,0.24521124742592976,0.2379595059901476
5,5,0.24169224253885305,0.23445864394307137
6,6,0.2390091357527265,0.23092530854046345
7,7,0.23499641154602074,0.2272044885903597
8,8,0.23085050968227872,0.22300399374216795
9,9,0.22591312267598074,0.21777877863496542
10,10,0.2206049564347905,0.21134685445576906
11,11,0.21411762600112114,0.20423166640102863
12,12,0.20611893988339006,0.1965578692033887
13,13,0.19916697169185443,0.18895898014307022
14,14,0.19174345008506896,0.18130676448345184
15,15,0.1853470602992234,0.17568344715982676
16,16,0.1807256023974935,0.17154343612492085
17,17,0.1760112947908936,0.16775294952094555
18,18,0.17248776479131855,0.16407603304833174
19,19,0.16867579358398535,0.1603504903614521
20,20,0.16478268868604284,0.15641628485172987
21,21,0.15994083833922246,0.15229264460504055
22,22,0.1562848001908345,0.14831166621297598
23,23,0.15211881939203117,0.14468946773558855
24,24,0.14856379023592942,0.14120101602748036
25,25,0.1445119749208924,0.1379373320378363
26,26,0.14110978412780034,0.13469681050628424
27,27,0.13845587668904832,0.13196059921756387
28,28,0.13565095371691285,0.12916018487885594
29,29,0.1327984270871065,0.1266131717711687
30,30,0.1301282736810909,0.12427284894511104
31,31,0.1276975262696576,0.12203564634546638
32,32,0.1254458051103695,0.11984243709594011
33,33,0.12377300625963575,0.11784233152866364
34,34,0.12176355316190962,0.11597525840625167
35,35,0.11913014051451046,0.1142782005481422
36,36,0.11759858640136232,0.11243913974612951
37,37,0.11574858512468399,0.1106811068020761
38,38,0.1144618784451181,0.10893087554723024
39,39,0.11176310555570444,0.10717375855892897
40,40,0.11034629811906511,0.10556649696081877
41,41,0.1088388209130354,0.10403015883639455
42,42,0.10685325731897051,0.10246346285566688
43,43,0.1056007559227336,0.10098063852638006
44,44,0.10417025802051945,0.09984173951670527
45,45,0.10310145602769154,0.09863825608044863
46,46,0.1013290296504452,0.09706493047997355
47,47,0.09952568186885992,0.09581163665279746
48,48,0.09845932193432644,0.09426753362640738
49,49,0.09709153006410902,0.09285226184874773
50,50,0.09533406746615271,0.09153261315077543
51,51,0.0941253682942527,0.09041282348334789
52,52,0.09282089489850269,0.08931303210556507
53,53,0.09166394283247602,0.08846925618126988
54,54,0.09076162204620944,0.08718008594587445
55,55,0.08950993926471966,0.08624006644822657
56,56,0.08814765754968497,0.08541398914530873
57,57,0.0870088636637873,0.08418792928569019
58,58,0.08602273350308655,0.08332226681523025
59,59,0.08502921379011148,0.08272032719105482
60,60,0.08405457311280214,0.08145724725909531
61,61,0.08333099775823058,0.08063142304308712
62,62,0.08222298082082895,0.07975273509509861
63,63,0.08098239060135404,0.07901039510034025
64,64,0.08065350795057928,0.07818543445318937
65,65,0.07989695862789822,0.07763026934117079
66,66,0.07860268752096565,0.07675569620914757
67,67,0.07822674918611339,0.0760344211012125
68,68,0.0768919127050099,0.07540586474351585
69,69,0.07646053253560309,0.07449536700733006
70,70,0.07562877204577634,0.07390933251008391
71,71,0.0750630986728486,0.07321067620068789
72,72,0.07437105246694983,0.07248806091956794
73,73,0.07365702291962448,0.07216590200550854
74,74,0.07312593350459816,0.07117204158566892
75,75,0.07229425698803489,0.07052279729396105
76,76,0.07121521272477072,0.07018872490152717
77,77,0.07093412006736562,0.06919640768319368
78,78,0.07023419895369536,0.06893086177296937
79,79,0.06978386432929023,0.06805513799190521
80,80,0.06913785836926312,0.06773617351427674
81,81,0.06820304573151716,0.06744898343458772
82,82,0.06787100698870079,0.06666874955408275
83,83,0.06697735758676271,0.06555109773762524
84,84,0.06653159593415868,0.06539073353633285
85,85,0.06597712393968728,0.06445466540753841
86,86,0.06527227418390429,0.06403943221084774
87,87,0.06496112944356575,0.06355702714063227
88,88,0.06445767824199929,0.06340026971884072
89,89,0.06382897495037052,0.06264620320871472
90,90,0.06327707197066325,0.06173480651341379
91,91,0.06267515992283061,0.0612734982278198
92,92,0.062422876406437275,0.06081351893953979
93,93,0.061488723797593146,0.060304873157292604
94,94,0.06118950587074468,0.059849044773727655
95,95,0.06085736628408265,0.05944424192421138
96,96,0.060214040504329526,0.05913107795640826
97,97,0.059662480856392794,0.05837112572044134
98,98,0.05931765904092485,0.05830198270268738
99,99,0.0587511418304246,0.05760094849392772
100,100,0.05833961309236326,0.05740606668405235
101,101,0.05767958945814212,0.05636947765015066
102,102,0.057667846595690506,0.05670030671171844
103,103,0.05704903877844476,0.05606065550819039
104,104,0.056587085910853305,0.055570792872458696
105,105,0.05622957859212046,0.05547969089820981
106,106,0.05569670552233602,0.054719324922189116
107,107,0.055561557198595846,0.05460008233785629
108,108,0.05493803389939913,0.05390015593729913
109,109,0.05443754723402345,0.053371411049738526
110,110,0.05396685858441007,0.053068806417286396
111,111,0.05362271912585778,0.052971985656768084
112,112,0.05325006048200996,0.05248536868020892
113,113,0.05287422605191067,0.052197066601365805
114,114,0.05257054181045787,0.0517861251719296
115,115,0.05229302386569369,0.0516263609752059
116,116,0.051833740144873124,0.05143093457445502
117,117,0.05148503078729104,0.05055662267841399
118,118,0.05127094341975868,0.05040779244154692
119,119,0.051000089402411394,0.04994353884831071
120,120,0.05031098090824048,0.049675704911351204
121,121,0.04998813501921049,0.04925316688604653
122,122,0.04972112840812677,0.04888060293160379
123,123,0.049384839429407364,0.04830869473516941
124,124,0.04882350275708232,0.048430558294057846
125,125,0.04879904416194008,0.04843002068810165
126,126,0.04846205351174258,0.04764517256990075
127,127,0.0480839917495562,0.04722997569479048
128,128,0.047939737819752117,0.047271222341805696
129,129,0.0470949199620136,0.0467625034507364
130,130,0.047040489721734816,0.046223146142438054
131,131,0.046903652251715874,0.04633257770910859
132,132,0.04649854456163516,0.04576097638346255
133,133,0.04607670429121157,0.04551490396261215
134,134,0.04587071865891955,0.045164153911173344
135,135,0.045530845678061434,0.04490912426263094
136,136,0.04522469435717649,0.04476761119440198
137,137,0.0450487655178187,0.044383099069818854
138,138,0.04505019723941946,0.044326931703835726
139,139,0.04444834862829773,0.04389562155120075
140,140,0.04428395252840914,0.043363474076613784
141,141,0.04404625238459201,0.04335668543353677
142,142,0.04392692445522281,0.04276052606292069
143,143,0.04320163737721504,0.04288991168141365
144,144,0.04342830869232773,0.04254914075136185
145,145,0.043229795850006636,0.04253530642017722
146,146,0.04283977010447508,0.042000682558864355
147,147,0.04243827419011456,0.04176598181948066
148,148,0.04196473477989625,0.04152653878554702
149,149,0.04210116650173618,0.04123119683936238
150,150,0.0416367173337253,0.041332445573061705
151,151,0.041624734581560845,0.04087863932363689
152,152,0.041113427608825595,0.04105513240210712
153,153,0.04093111269650566,0.040808695601299405
154,154,0.04062441866963532,0.039937380934134126
155,155,0.040612387666656716,0.03956655983347446
156,156,0.040461526115893556,0.03970850689802319
157,157,0.03999593008048595,0.039137517916969955
158,158,0.039885671038156864,0.039311666623689234
159,159,0.039495600731509505,0.03920124110300094
160,160,0.03945865606663713,0.038646170636639
161,161,0.039386116798706114,0.038670958136208355
162,162,0.03893742184777548,0.038293936057016253
163,163,0.03893165111209557,0.0383804984157905
164,164,0.0384839633064475,0.03794739139266312
165,165,0.03827843414085686,0.03760563977994025
166,166,0.037902848688280505,0.037283190176822245
167,167,0.03792405145088579,0.03733601258136332
168,168,0.03769878266011454,0.03707111580297351
169,169,0.03765824333924776,0.037120749009773135
170,170,0.037256161889927406,0.03687470033764839
171,171,0.03742310841372059,0.03671075403690338
172,172,0.03693430832806666,0.03629855997860432
173,173,0.036950764987783824,0.03612467960920185
174,174,0.03637298105201524,0.03600423061288893
175,175,0.036491363564399394,0.03568650153465569
176,176,0.03641612379319349,0.03546311100944877
177,177,0.03598651178418451,0.035815255949273705
178,178,0.03598461753931964,0.035104532493278384
179,179,0.035617297847464584,0.03486394556239247
180,180,0.03539767567139522,0.035323392832651734
181,181,0.03496706954968773,0.034618682228028774
182,182,0.03516921629998714,0.03420677548274398
183,183,0.03498857520568143,0.034429533523507416
184,184,0.034931482195521994,0.034436579793691635
185,185,0.03466792461598755,0.03409720689523965
186,186,0.03461689774872391,0.03352731268387288
187,187,0.03445356279896323,0.033538951887749135
188,188,0.03417126855747715,0.03333443065639585
189,189,0.034016409604128,0.033450687886215746
190,190,0.03384054222019615,0.03340049122925848
191,191,0.03364966086046711,0.03291658964008093
192,192,0.03375090242238941,0.03292524290736765
193,193,0.03361667194374048,0.03289094369392842
194,194,0.03329248788060656,0.03265244769863784
195,195,0.03327135748829052,0.03300616575870663
196,196,0.033164159804108036,0.03251454292330891
197,197,0.03285082103387945,0.03216668439563364
198,198,0.0329962293172528,0.032410126528702676
199,199,0.032697048477211575,0.03180022002197802
