,epochs,train_loss,test_loss,z_loss,a_loss,n_loss,z_testloss,a_testloss,n_testloss
0,0,0.4119441218816551,0.2800881415605545,0.17657234163800622,0.1583136341469303,0.07705814635772613,0.12076896568760276,0.11229000706225634,0.04702916950918734
1,1,0.18703401719878435,0.13669811794534326,0.07795702227076907,0.0651997143201008,0.043877280833330125,0.04743040958419442,0.043469089549034834,0.045798618812114
2,2,0.12846538690245077,0.12505554175004363,0.04448395040906539,0.04047061734281148,0.04351081918616583,0.042772289365530014,0.040036422898992896,0.04224683088250458
3,3,0.12396666611645632,0.12164234556257725,0.042390620454576367,0.039476425108161704,0.04209962060117418,0.04140939633361995,0.03857769537717104,0.04165525431744754
4,4,0.1210472216461874,0.11913508595898747,0.04125470573165614,0.03787615090893332,0.041916364459854784,0.04073221539147198,0.03705192799679935,0.04135094303637743
5,5,0.117800191329543,0.11628742190077901,0.04026570235183285,0.0362932726764565,0.0412412160046541,0.040026407688856125,0.03530025330837816,0.040960760321468115
6,6,0.11567620178506632,0.11288353707641363,0.040090468860450826,0.03452098032661304,0.041064752194627074,0.03916002926416695,0.03328059520572424,0.04044291260652244
7,7,0.11160158944927204,0.10868234746158123,0.039082966199156584,0.03208683736052862,0.040431786221778315,0.03811160987243056,0.03073440119624138,0.03983633650932461
8,8,0.10677408621569348,0.10309318732470274,0.03773802726464287,0.029289742231748666,0.03974631667184602,0.036864719819277525,0.027197350515052676,0.03903111792169511
9,9,0.1012196510460726,0.09682342363521457,0.036560703472347016,0.025541120262187758,0.03911782729967385,0.0353381943423301,0.023438471253030002,0.03804675897117704
10,10,0.09495326558685606,0.08991903252899647,0.03512029299975201,0.02174445318805564,0.03808851920922471,0.03373209456913173,0.019141217228025198,0.03704572003334761
11,11,0.08868113601473486,0.08315605344250798,0.034036156537521414,0.01755568567829527,0.03708929376332623,0.032311399234458804,0.014806840859819204,0.03603781387209892
12,12,0.08267098214406117,0.07735856575891376,0.03309587046361653,0.01345078845265185,0.03612432332270464,0.03123063885141164,0.01110236527165398,0.0350255606463179
13,13,0.07751379529856572,0.07344439625740051,0.03197624000489332,0.010516904125429072,0.0350206509279977,0.030549549032002687,0.00871045803069137,0.034184389747679234
14,14,0.07453086300735261,0.07118707546032965,0.031407017853988965,0.008753295281937547,0.034370549521438636,0.03012489795219153,0.0074220844253432006,0.0336400936357677
15,15,0.07348494355086309,0.0699499489273876,0.031591924405686415,0.00801557919698631,0.033877439820652555,0.029868286452256143,0.0068893910211045295,0.03319227113388479
16,16,0.07201750296506153,0.0689338967204094,0.031153070817517628,0.0075600502558740654,0.03330438174781906,0.029623027658089995,0.0065473402792122215,0.032763528055511415
17,17,0.07138473981884634,0.06818609405308962,0.031163756729690892,0.007244899269834066,0.03297608413371691,0.029411272262223065,0.0063144338491838425,0.03246038733050227
18,18,0.07045785280739426,0.06758291902951896,0.0307608639263803,0.006982510749274379,0.03271447814953555,0.029234621790237725,0.0061521158495452255,0.03219618124421686
