,epochs,train_loss,test_loss,z_loss,z_testloss,a_loss,a_testloss,n_loss,n_testloss
0,0,0.42059614540289003,0.30279379007937035,0.16868081712684693,0.12780547632446773,0.14196468918277813,0.12929245650391036,0.10995063946222344,0.045695857250992254
1,1,0.2036049709961818,0.13097450410640693,0.09017649883279405,0.0494168970403792,0.06992155356933705,0.03979280925815618,0.043506918159631876,0.04176479776071597
2,2,0.12475075275181963,0.11695075110544133,0.04509364920088087,0.0410980746574417,0.03867553763639051,0.0362647931692721,0.04098156554558978,0.03958788372670548
3,3,0.11784904304975138,0.11027054168001006,0.04288527301658457,0.039352630842712864,0.03594056259805021,0.033429946726824665,0.03902320725063737,0.037487964039739176
4,4,0.11076355516053617,0.10265989450714257,0.040736536218668705,0.03733188194470315,0.032705759701018515,0.029737924826861935,0.03732125913968292,0.035590088065666485
5,5,0.10339555989343899,0.09502241515283343,0.038431689083671415,0.03510341788583164,0.029015104211985873,0.025650919591890104,0.03594876681201565,0.03426807739217825
6,6,0.09743705515663464,0.08923322679121283,0.037139396007639915,0.033747411462702326,0.025141983819655336,0.02218020448013197,0.03515567542455448,0.033305610848378533
7,7,0.09200793361892334,0.08473320588280883,0.035761889427329024,0.03303586337951165,0.02216124607208438,0.019349074615990815,0.03408479771484582,0.032348267851939685
8,8,0.08711155365926389,0.08040816808425927,0.03491595084555804,0.0325080367111707,0.01912534004821183,0.016472161417426186,0.033070262694082704,0.03142796954305112
9,9,0.08292900344815117,0.07694299754839909,0.03466721825872938,0.03226542130961448,0.01599017065911057,0.01388307921352643,0.032271614571967824,0.03079449748502502
10,10,0.07949377333346647,0.07462414160748071,0.034011438286628205,0.03217079860594454,0.013767349459349919,0.012181223794534991,0.031714985635095894,0.0302721193602568
11,11,0.07736296756579854,0.07282220185557499,0.03375297896683026,0.03175871196804168,0.012461632790680702,0.011159585423390322,0.031148355686293244,0.02990390472349864
12,12,0.07581550228043486,0.07153639310522925,0.03310505819682496,0.03132208121964072,0.01180771592492684,0.01062888379173377,0.03090272815273212,0.02958542855951605
13,13,0.07452173229937736,0.07043045655458788,0.03280806020140267,0.030889945870996277,0.01130971228763366,0.010240103489471764,0.030403959907043854,0.02930040723538097
14,14,0.07373923346543083,0.06959389711293994,0.03253073820148032,0.03060590520595448,0.011031920911547855,0.009975726975576032,0.03017657441786303,0.029012264848887165
15,15,0.07234726248743435,0.06872705728570118,0.03209706722571256,0.030236060518912877,0.010549726293455013,0.009735384006996322,0.02970046901141112,0.028755612636008596
16,16,0.07140310485951436,0.0678169194703238,0.03153100581809926,0.02986107568574857,0.010525224395631886,0.009546346767935195,0.029346874549080387,0.028409496963590006
17,17,0.07053978421008245,0.06706717176527917,0.031280093829329024,0.02968277195114878,0.01015734039663602,0.009253784088724399,0.02910234994543627,0.02813061573130043
18,18,0.06942569049069294,0.065953079611063,0.03070846092277251,0.029117078815079942,0.009795147056777637,0.009054655050033633,0.028922082475437143,0.027781345185976993
19,19,0.06791569944768668,0.06504311124923863,0.029966734897214384,0.028693760945638525,0.00951210127179377,0.008887913643936568,0.02843686346167002,0.027461436801130258
20,20,0.06709032709272905,0.06391174183521844,0.029717979268334544,0.02825880203914793,0.009242180583123772,0.008516823053595763,0.0281301672978047,0.027136116936991486
21,21,0.06600014709483701,0.0631211943264249,0.029299933469285982,0.028057515220362927,0.008974234606273258,0.008212720435937937,0.0277259789121608,0.026850958779171298
22,22,0.06490369621938029,0.06174535044952284,0.028717655182694094,0.027370973549123052,0.008684696956945303,0.00790158585244436,0.027501344240416354,0.026472791251313837
23,23,0.06382657860081417,0.060932598088549665,0.028396718275432768,0.027143745305889016,0.008258082357178719,0.007644585439864593,0.027171777924314473,0.026144267661096173
24,24,0.0625970920744224,0.05958613364285306,0.027844850069132093,0.026461028022385095,0.008000356606401193,0.007363965658211633,0.026751885500055153,0.025761140062461926
25,25,0.06127468152596547,0.05849285652460177,0.02726562562496803,0.02605752962865407,0.007743489468833223,0.0070421532845666894,0.026265566460431194,0.025393173169297508
26,26,0.060371872561332134,0.05756770475189897,0.02697370713725448,0.0257515679761956,0.007480562200394873,0.006815949118920142,0.025917603202854484,0.025000187591944313
